"""Company History""",Company History,
"""Parent"" signifies the parent table in which this row must be added",Parent signifies the parent table in which this row must be added,
"""Team Members"" or ""Management""","""Team Members or """"Management""""""",
"""amended_from"" field must be present to do an amendment.",amended_from field must be present to do an amendment.,
"""{0}"" is not a valid Google Sheets URL",{0} is not a valid Google Sheets URL,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} has been added to queue for optimisation,
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. and contributors,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'In Global Search' is not allowed for field {0} of type {1},'In Global Search' is not allowed for field {0} of type {1},
'In Global Search' not allowed for type {0} in row {1},'In Global Search' not allowed for type {0} in row {1},
'In List View' is not allowed for field {0} of type {1},'In List View' is not allowed for field {0} of type {1},
'In List View' not allowed for type {0} in row {1},'In List View' not allowed for type {0} in row {1},
'Recipients' not specified,'Recipients' not specified,
'{0}' is not a valid URL,'{0}' is not a valid URL,
'{0}' not allowed for type {1} in row {2},'{0}' not allowed for type {1} in row {2},
(Mandatory),(Mandatory),
** Failed: {0} to {1}: {2},** Failed: {0} to {1}: {2},
+ Add / Remove Fields,+ Add / Remove Fields,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Submitted; 2 - Cancelled,
0 is highest,0 is highest,
1 = True & 0 = False,1 = True & 0 = False,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Currency = [?] Fraction
For e.g. 1 AUD = 100 Cent",
1 Day,1 Day,
1 Google Calendar Event synced.,1 Google Calendar Event synced.,
1 Report,1 Report,
1 comment,1 comment,
1 day ago,1 day ago,
1 hour,1 hour,
1 hour ago,1 hour ago,
1 minute ago,1 minute ago,
1 month ago,1 month ago,
1 of 2,1 of 2,
1 record will be exported,1 record will be exported,
1 second ago,1 second ago,
1 week ago,1 week ago,
1 year ago,1 year ago,
2 hours ago,2 hours ago,
2 months ago,2 months ago,
2 weeks ago,2 weeks ago,
2 years ago,2 years ago,
3 minutes ago,3 minutes ago,
30 minutes,30 minutes,
4 hours,4 hours,
5 Records,5 Records,
5 days ago,5 days ago,
; not allowed in condition,; not allowed in condition,
<b>{0}</b> is not a valid URL,<b>{0}</b> is not a valid URL,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","""<div class=""""alert"""">Please don't update it as it can mess up your form. Use the Customise Form View and Custom Fields to set properties!</div>""",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>
                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","""<div class=""""well"""">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are """"/"""" and """"-""""</li>
        <li>
            Optionally set the number of digits in the series using dot (.</li>""",
